iter	RMSE
0	113059346.1
1	108712574.8
2	104679353.7
3	101282777.2
4	98049314.63
5	95238974.89
6	92912982.39
7	90684600.26
8	88594259.29
9	86704782.3
10	85163443.4
11	83670762.84
12	82432777.78
13	81273226.01
14	80219636.82
15	79254592.93
16	78469628.89
17	77861023.13
18	77116530.27
19	76460041.43
20	76056840.61
21	75699130.29
22	75353826.1
23	75008593.94
24	74573539.07
25	74285603.41
26	73975777.79
27	73763206.25
28	73515760.74
29	73395598.91
30	73102608.14
31	72973434.92
32	72862432.49
33	72757086.69
34	72717187.41
35	72573383.84
36	72505371.07
37	72298478.16
38	72254474.15
39	72176655.6
40	72107435.73
41	72048843.1
42	71993567.9
43	71900226.8
44	71812522.63
45	71739507.64
46	71654253.51
47	71614269.42
48	71563040.26
49	71537429.19
50	71491931.15
51	71457470.52
52	71436218.75
53	71388194.66
54	71366038.31
55	71322301.72
56	71278777.84
57	71259183.81
58	71225180.81
59	71184579.01
60	71147522.04
61	71049671.67
62	71031389.4
63	70996857.17
64	70957121.67
65	70921168.56
66	70848075.81
67	70842815.8
68	70811747.9
69	70789683.52
70	70713582.64
71	70689050.99
72	70639009.95
73	70627245.38
74	70553217.07
75	70519381.35
76	70494335.68
77	70471856.22
78	70445081.77
79	70426853.91
80	70418675.1
81	70409610.65
82	70404510.14
83	70324436
84	70292030.52
85	70273060.65
86	70246208.92
87	70226823.27
88	70204258.61
89	70166350.4
90	70129016.69
91	70106801.51
92	70071903.18
93	70048617.53
94	70007291.23
95	69984838.93
96	69959782.23
97	69951195.28
98	69936690.63
99	69905586.81
100	69893902.45
101	69891507.58
102	69858042.78
103	69834073.47
104	69805765.07
105	69781922.86
106	69777611.05
107	69758047.55
108	69729951.75
109	69712802.25
110	69701264.47
111	69696574.72
112	69670742.25
113	69652898.84
114	69644541.81
115	69627461.5
116	69553966.62
117	69525744.98
118	69472713.51
119	69415868.77
120	69384831.14
121	69355711.52
122	69338188.66
123	69269371.2
124	69245494.35
125	69236907.3
126	69234241.62
127	69218333.26
128	69168061.82
129	69162044.18
130	69150868.31
131	69150820.7
132	69133553.19
133	69103316.34
134	69045163.49
135	68994851.22
136	68975740.49
137	68944427.22
138	68903574.99
139	68896206.58
140	68884569.04
141	68853484.68
142	68820706
143	68793129.51
144	68759397.72
145	68697885.61
146	68687835.76
147	68669324.48
148	68649883.11
149	68618520.62
150	68578525.15
151	68548944.23
152	68535307.47
153	68511815.8
154	68488430.67
155	68440618.96
156	68428705.18
157	68394287.49
158	68362384.94
159	68324832.31
160	68310529.85
161	68263674.82
162	68237247.51
163	68182700.27
164	68147031.15
165	68128724.79
166	68104734.36
167	68071370.81
168	68034042.45
169	68022850.32
170	67994285.93
171	67970487
172	67957437.97
173	67929873.52
174	67915037.26
175	67884448.01
176	67869727.62
177	67836614.11
178	67824273.78
179	67802324.88
180	67756032.94
181	67739134.27
182	67708517.14
183	67681270.02
184	67639854.98
185	67626654.33
186	67608696.73
187	67597130.02
188	67576727.22
189	67549500.77
190	67531975.53
191	67512913.92
192	67489693.64
193	67449140.1
194	67434203.13
195	67419619.06
196	67403130.88
197	67387389.52
198	67366317.32
199	67346718.96
200	67322956.83
201	67300059.28
202	67276593.29
203	67268225.51
204	67238990.47
205	67227504.6
206	67204431.16
207	67183796.7
208	67168781.77
209	67150850.5
210	67133952.67
211	67109999.58
212	67088475.49
213	67079104.86
214	67050380.7
215	67025513.09
216	67004382.19
217	66995240.7
218	66971893.4
219	66951039.29
220	66934735.36
221	66906002.33
222	66883244.96
223	66866450.17
224	66857427.81
225	66824518.42
226	66812203.54
227	66800568.84
228	66767338.62
229	66741597.55
230	66709233.61
231	66698106.81
232	66682515.77
233	66660439.3
234	66645215.74
235	66618689.66
236	66606112.54
237	66585557.99
238	66553917.22
239	66531509.42
240	66513020.79
241	66492135.66
242	66472987.71
243	66444524.19
244	66426495.08
245	66401658.89
246	66394330.02
247	66386697.16
248	66370778.55
249	66343148.56
250	66325108.17
251	66308125.4
252	66289530.47
253	66262243.7
254	66225630.71
255	66209073.77
256	66201180.53
257	66188399.64
258	66163660.62
259	66150866.9
260	66141548.99
261	66118526.85
262	66087755.07
263	66067238.06
264	66047829.38
265	66033800.83
266	66018307.8
267	66007542.06
268	65986031.9
269	65966192.75
270	65945358.89
271	65913142.91
272	65888696.6
273	65871852.35
274	65854193.55
275	65835306.35
276	65816042.79
277	65802393.68
278	65783202.45
279	65759857.36
280	65744947.02
281	65729978.78
282	65720501.41
283	65704752.57
284	65685712.46
285	65662937.46
286	65658336.91
287	65646133.82
288	65627515.91
289	65609511.27
290	65599850.51
291	65589009.12
292	65566690.89
293	65559544.32
294	65549423.11
295	65534227.2
296	65520058.35
297	65501265.55
298	65479466.59
299	65459747.1
300	65443795.68
