iter	RMSE
301	65429525.16
302	65420617.94
303	65407588.73
304	65398838.4
305	65382750.87
306	65369021.27
307	65353096.66
308	65343952.66
309	65335028.12
310	65321008.14
311	65304282.28
312	65274277.98
313	65256026.58
314	65238358.92
315	65232006.89
316	65216030.74
317	65202459.94
318	65175303.73
319	65159136.89
320	65138646.45
321	65113234.47
322	65102264.57
323	65076600.68
324	65062458.34
325	65040358.83
326	65010054.54
327	64990044.8
328	64969449.13
329	64943668.65
330	64914393.82
331	64887235.61
332	64880066.48
333	64866591.75
334	64861327
335	64845468.94
336	64832355.56
337	64812318.4
338	64807025.81
339	64788022.42
340	64778135.4
341	64766761.03
342	64756420.95
343	64749919.59
344	64734640.64
345	64725731.53
346	64718399.63
347	64706635.49
348	64694758.55
349	64674037.81
350	64665672.35
351	64655121.51
352	64645731.99
353	64637794.95
354	64621358.78
355	64596665.78
356	64576182.19
357	64569525.11
358	64563392.84
359	64559069.73
360	64551387.02
361	64518838.03
362	64500170.48
363	64483208.09
364	64469155.52
365	64458233.22
366	64453631.97
367	64440522.37
368	64432073.65
369	64425898.65
370	64421572.69
371	64402172.72
372	64393985.83
373	64384003.47
374	64370633.57
375	64359024.86
376	64354408.32
377	64346564.04
378	64316951.69
379	64290329.25
380	64270598.06
381	64257230.02
382	64242557.23
383	64235691.68
384	64229004.41
385	64223466.93
386	64214377.29
387	64193464.47
388	64189651
389	64181876.06
390	64165092.67
391	64154103.54
392	64139482.43
393	64122067.66
394	64111343.36
395	64102255.06
396	64089782.98
397	64084245.38
398	64065400.25
399	64052079.41
400	64029126.04
401	64021142.82
402	64009245.85
403	63991381.16
404	63979393.51
405	63972242.41
406	63948208.97
407	63933133.08
408	63923039.14
409	63908164.28
410	63890121.14
411	63871294.23
412	63852177.56
413	63843147.17
414	63836488.3
415	63808912.92
416	63796629.17
417	63774551.32
418	63759577.68
419	63743259.09
420	63732031.4
421	63710301.94
422	63693975.95
423	63685806.65
424	63665638.19
425	63652864.43
426	63644606.92
427	63630162.13
428	63613617.02
429	63601166.28
430	63579693.3
431	63565283.57
432	63556464.73
433	63550715.51
434	63547666.32
435	63537111.69
436	63529679.51
437	63517894.1
438	63505682.39
439	63489471.73
440	63468482.43
441	63459320.21
442	63448219.48
443	63440661.31
444	63429946.15
445	63418965.62
446	63405645.32
447	63385954.95
448	63373407.46
449	63360210.97
450	63349778.24
451	63341830.45
452	63330833.47
453	63312681.44
454	63295840.52
455	63274906.9
456	63255801.44
457	63237102.94
458	63231201.67
459	63222980.79
460	63215788.73
461	63198935.84
462	63192420.74
463	63184327.91
464	63170994.6
465	63155856.9
466	63149444.67
467	63141307.18
468	63135239.84
469	63124237.78
470	63107081.86
471	63082687.75
472	63073806.14
473	63058188.81
474	63046158.24
475	63027178.05
476	63021370.83
477	63009654.1
478	62999523.11
